Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2013,Sociedad,Getafe,2,0,H
2013,Valencia,Malaga,1,0,H
2013,Valladolid,Ath Bilbao,1,2,A
2013,Barcelona,Levante,7,0,H
2013,Osasuna,Granada,1,2,A
2013,Real Madrid,Betis,2,1,H
2013,Sevilla,Ath Madrid,1,3,A
2013,Almeria,Villarreal,2,3,A
2013,Celta,Espanol,2,2,D
2013,Vallecano,Elche,3,0,H
2013,Ath Bilbao,Osasuna,2,0,H
2013,Getafe,Almeria,2,2,D
2013,Elche,Sociedad,1,1,D
2013,Espanol,Valencia,3,1,H
2013,Villarreal,Valladolid,2,1,H
2013,Ath Madrid,Vallecano,5,0,H
2013,Betis,Celta,1,2,A
2013,Levante,Sevilla,0,0,D
2013,Malaga,Barcelona,0,1,A
2013,Granada,Real Madrid,0,1,A
2013,Almeria,Elche,2,2,D
2013,Vallecano,Levante,1,2,A
2013,Celta,Granada,1,1,D
2013,Osasuna,Villarreal,0,3,A
2013,Valladolid,Getafe,1,0,H
2013,Espanol,Betis,0,0,D
2013,Real Madrid,Ath Bilbao,3,1,H
2013,Sevilla,Malaga,2,2,D
2013,Sociedad,Ath Madrid,1,2,A
2013,Valencia,Barcelona,2,3,A
2013,Ath Madrid,Almeria,4,2,H
2013,Barcelona,Sevilla,3,2,H
2013,Levante,Sociedad,0,0,D
2013,Villarreal,Real Madrid,2,2,D
2013,Betis,Valencia,3,1,H
2013,Getafe,Osasuna,2,1,H
2013,Granada,Espanol,0,1,A
2013,Malaga,Vallecano,5,0,H
2013,Ath Bilbao,Celta,3,2,H
2013,Elche,Valladolid,0,0,D
2013,Osasuna,Elche,2,1,H
2013,Almeria,Levante,2,2,D
2013,Sociedad,Malaga,0,0,D
2013,Valladolid,Ath Madrid,0,2,A
2013,Vallecano,Barcelona,0,4,A
2013,Betis,Granada,0,0,D
2013,Celta,Villarreal,0,0,D
2013,Real Madrid,Getafe,4,1,H
2013,Valencia,Sevilla,3,1,H
